r(0,0,9,10)
r(3,0,9,10)
r(2,0,9,10)
r(2,0,9,10)
w(3,1,0,15)
w(3,2,0,15)
w(3,3,0,15)
w(3,4,0,15)
r(4,0,0,15)
r(1,0,1,16)
r(5,0,1,16)
w(5,3,1,16)
w(5,4,1,16)
r(5,4,6,22)
r(2,0,6,22)
r(5,4,6,22)
w(5,7,6,22)
r(5,7,6,22)
r(5,7,6,22)
r(3,4,6,22)
r(5,7,6,22)
r(5,4,9,24)
w(1,1,9,24)
r(3,4,9,24)
r(3,4,9,24)
r(1,1,9,24)
w(1,2,9,24)
w(5,8,1,26)
r(3,4,1,26)
r(5,8,1,26)
w(2,3,1,26)
w(6,1,8,27)
w(3,8,8,27)
r(6,1,8,27)
r(6,1,8,27)
r(6,1,8,27)
r(6,1,0,29)
r(7,0,0,29)
r(7,0,0,29)
r(2,3,0,29)
r(6,1,0,29)
r(6,1,0,29)
w(6,2,0,29)
r(7,0,0,29)
r(6,2,8,31)
w(7,1,8,31)
w(7,2,8,31)
r(6,2,8,31)
r(6,2,8,31)
w(7,3,4,36)
w(2,4,4,36)
w(6,3,4,36)
r(7,3,4,36)
w(6,4,4,36)
r(7,3,7,41)
r(8,0,7,41)
r(8,0,7,41)
r(7,3,7,41)
w(6,7,2,46)
w(2,6,2,46)
r(0,0,2,46)
w(1,4,2,46)
r(6,7,2,46)
r(7,3,2,46)
w(7,7,2,46)
w(6,8,2,46)
r(1,2,5,48)
w(9,2,5,48)
w(0,1,5,48)
r(9,2,5,48)
r(8,0,3,49)
w(8,4,3,49)
r(8,4,3,49)
r(10,0,3,49)
w(8,5,3,49)
r(8,5,5,52)
r(1,4,5,52)
w(9,3,5,52)
w(8,6,5,52)
w(8,7,5,52)
r(9,3,5,52)
w(0,2,7,53)
r(8,5,7,53)
w(10,2,7,53)
w(0,3,7,53)
r(9,2,7,53)
w(9,5,2,61)
w(9,6,2,61)
w(11,1,2,61)
w(1,6,2,61)
r(9,6,2,61)
w(11,2,2,61)
r(9,6,2,61)
w(9,7,2,61)
r(1,6,5,65)
