r(4,0,0,8)
r(4,0,0,8)
r(3,0,0,8)
r(4,0,0,8)
w(0,1,7,9)
r(4,0,7,9)
r(4,0,7,9)
r(4,0,7,9)
r(2,0,7,9)
r(4,0,4,12)
r(4,0,4,12)
w(4,1,4,12)
r(4,1,4,12)
w(4,2,4,12)
r(3,0,4,12)
r(4,0,2,15)
r(4,0,2,15)
w(3,2,2,15)
r(3,2,2,15)
r(2,0,2,15)
r(4,0,2,15)
r(4,0,2,15)
r(4,0,2,15)
r(4,2,4,17)
r(3,2,4,17)
r(5,0,4,17)
r(5,0,4,17)
r(5,0,8,27)
r(5,0,8,27)
r(3,2,8,27)
r(3,2,8,27)
r(0,1,8,27)
r(3,2,8,27)
r(5,0,5,29)
r(5,0,5,29)
r(5,0,5,29)
r(2,0,5,29)
r(1,0,2,33)
w(6,1,2,33)
r(6,1,2,33)
r(5,0,2,33)
w(5,5,2,33)
r(6,1,2,33)
w(6,2,2,33)
r(6,2,2,33)
r(5,0,4,34)
r(6,0,4,34)
r(1,0,4,34)
r(1,0,4,34)
r(5,5,5,38)
w(5,6,5,38)
r(5,6,5,38)
w(5,7,5,38)
w(2,2,2,41)
w(2,3,2,41)
w(0,4,2,41)
r(5,7,2,41)
r(5,7,0,43)
r(5,7,0,43)
r(6,2,0,43)
w(6,4,0,43)
r(1,0,0,43)
r(6,4,6,47)
w(6,5,6,47)
w(2,4,6,47)
w(6,6,6,47)
r(5,7,6,47)
w(1,2,6,47)
w(6,7,6,47)
r(2,4,3,50)
w(8,1,3,50)
r(8,1,3,50)
r(2,4,3,50)
w(8,2,3,50)
w(8,3,3,50)
r(8,3,3,50)
r(8,3,3,50)
w(8,4,5,52)
r(2,4,5,52)
w(2,6,5,52)
w(2,7,5,52)
r(8,4,5,52)
r(1,2,5,52)
r(7,0,5,52)
r(8,4,8,53)
r(7,0,8,53)
r(8,4,8,53)
r(7,0,8,53)
r(8,4,8,53)
w(8,5,8,53)
w(8,6,5,56)
w(7,1,5,56)
r(8,6,5,56)
r(8,6,5,56)
r(1,2,5,56)
w(8,7,5,56)
r(1,2,1,59)
r(7,1,1,59)
w(2,8,1,59)
r(7,1,1,59)
r(8,7,1,59)
r(9,0,1,59)
r(9,0,4,62)
r(1,2,4,62)
r(9,0,4,62)
w(9,1,4,62)
w(9,2,4,62)
w(7,3,0,63)
w(1,4,0,63)
w(7,4,0,63)
r(7,4,0,63)
r(9,2,4,65)
r(9,2,4,65)
r(7,4,4,65)
r(9,2,4,65)
w(9,3,7,67)
w(10,1,7,67)
r(9,3,7,67)
r(7,4,7,67)
r(9,3,7,67)
w(9,4,5,69)
r(0,4,5,69)
r(9,4,5,69)
w(7,5,5,69)
r(1,4,5,69)
w(7,6,8,73)
w(10,2,8,73)
